Order_Id,Customer_Id,Customer_Name,Product_Id,Product_Category,Product_Name,Quantity_ordered,Price,Date_and_Time_When_Order_Was_Placed,Customer_Country,Customer_City,Site_From_Where_Order_Was_Placed,Payment_Type,Payment_Transaction_Confirmation_Id,Payment_Success_or_Failure,Payment_Failure_Reason
93ec06c9-61b5-4066-9989-05d328bbc339,123e4567-e89b-12d3-a456-426614174000,Dylan Martinez,123e4567-e89b-12d3-a456-426614174000,Sports,Basketball,4,450.85,2024-05-07 09:45:07.427228,India,Mumbai,Shopify,UPI,123e4567-e89b-12d3-a456-426614174000,Y,Fraudulent Activity
123e4567-e89b-12d3-a456-426614174001,10936b1a-a0be-4689-b942-6a950ca1f88a,Donald Olsen,123e4567-e89b-12d3-a456-426614174001,Home & Kitchen,Lotion,4,776.44,2023-12-30 09:45:07.427228,USA,Phoenix,Walmart,Card,123e4567-e89b-12d3-a456-426614174001,Y,No Reason Provided
123e4567-e89b-12d3-a456-426614174002,123e4567-e89b-12d3-a456-426614174002,Christopher Peters,5bd72cce-13c9-4d49-8779-df680ba0add0,Home & Kitchen,Lotion,5,670.79,2023-11-01 09:45:07.427228,Canada,Vancouver,Shopify,Wallet,123e4567-e89b-12d3-a456-426614174002,N,Insufficient Funds
123e4567-e89b-12d3-a456-426614174003,123e4567-e89b-12d3-a456-426614174003,Bryan Griffin,123e4567-e89b-12d3-a456-426614174003,Sports,Tennis Racket,1,339.18,2024-02-01 09:45:07.427228,Canada,Calgary,Flipkart,Wallet,123e4567-e89b-12d3-a456-426614174003,N,No Reason Provided
123e4567-e89b-12d3-a456-426614174004,123e4567-e89b-12d3-a456-426614174004,Monica Hatfield,123e4567-e89b-12d3-a456-426614174004,Sports,Gym Gloves,1,82.85,2024-03-14 09:45:07.427228,USA,Los Angeles,Walmart,Card,123e4567-e89b-12d3-a456-426614174004,Y,Fraudulent Activity
123e4567-e89b-12d3-a456-426614174005,123e4567-e89b-12d3-a456-426614174005,Susan Wright,123e4567-e89b-12d3-a456-426614174005,Home & Kitchen,Toothpaste,2,949.39,2024-01-22 09:45:07.427228,UK,Manchester,Shopify,Wallet,123e4567-e89b-12d3-a456-426614174005,Y,No Reason Provided
123e4567-e89b-12d3-a456-426614174006,123e4567-e89b-12d3-a456-426614174006,Derrick Jones,123e4567-e89b-12d3-a456-426614174006,Clothing,Jeans,5,955.9,2024-03-15 09:45:07.427228,UK,Birmingham,Walmart,UPI,123e4567-e89b-12d3-a456-426614174006,N,Card Expired
123e4567-e89b-12d3-a456-426614174007,123e4567-e89b-12d3-a456-426614174007,Jessica Kidd,123e4567-e89b-12d3-a456-426614174007,Books,Comics,1,931.08,2024-05-01 09:45:07.427228,UK,Birmingham,Amazon,UPI,9e4e8348-88a2-4795-be7f-3bb960bbdb77,N,Payment Gateway Error
123e4567-e89b-12d3-a456-426614174008,123e4567-e89b-12d3-a456-426614174008,Sergio Ortiz,123e4567-e89b-12d3-a456-426614174008,Clothing,T-Shirts,1,209.63,2024-05-02 09:45:07.427228,Germany,Frankfurt,eBay,Internet Banking,123e4567-e89b-12d3-a456-426614174008,Y,Payment Gateway Error
123e4567-e89b-12d3-a456-426614174009,123e4567-e89b-12d3-a456-426614174009,Jennifer Mills,123e4567-e89b-12d3-a456-426614174009,Clothing,Sweaters,5,733.64,2024-06-08 09:45:07.427228,UK,Manchester,Amazon,Wallet,123e4567-e89b-12d3-a456-426614174009,N,No Reason Provided
